dateTime,seconds,milliSeconds,sdFreeSpaceMb,loopTimeMs,workingTimeMs,freeMemoryBytes,currentState,controllerPower,serialAndBleBuffer,rgbDevice,buttonMode,buttonPower,throttleLevelPerCent,altitudeALm,altitudeSLm,pressure_hPa,temperatureDC,verticalSpeedMps,engineLevelOutP1024,engineMode,autotuneEnabled,pidTargetAltitudeM,0-0,0-1,0-2,0-3,0-4,0-5,0-6,0-7,1-0,1-1,1-2,1-3,1-4,1-5,1-6,1-7,2-0,2-1,2-2,2-3,2-4,2-5,2-6,2-7,3-0,3-1,3-2,3-3,3-4,3-5,3-6,3-7,4-0,4-1,4-2,4-3,4-4,4-5,4-6,4-7,batteryV,batteryA,revolutionsRpm,controllerTempDC,motorTempDC,batteryTempDC,requestedOutputPwmPC,realOutputPwmPC,remainingBatteryCapacityPC,remainingBatteryCapacityFromCanPC,Warnings,Failures,messagesReceived,messagesSent
2021-07-01 18:27:00,735,735057,1190107303,125,93,-1623,12,1,,0,0,0,0,-1.50,71.10,1014.91,26.19,0.00,0,1,,0.00,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.90,0.30,0,22,73,18,0,149,100,45,,,21,48
2021-07-01 18:27:00,735,735182,1190107303,125,93,-1623,12,1,,0,0,0,0,-1.50,71.10,1014.91,26.19,0.00,0,1,,0.00,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,219,255,0,0,0,0,,,,,,,,,51.90,0.30,0,22,73,18,0,149,100,45,,,22,49
2021-07-01 18:27:00,735,735307,1190107303,125,93,-1623,12,1,,0,0,0,0,-1.50,71.10,1014.90,26.19,0.00,0,1,,0.00,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.90,0.30,0,22,73,18,0,149,100,45,,,22,50
2021-07-01 18:27:00,735,735423,1190107303,125,93,-1623,12,1,,0,0,0,2,-1.50,71.10,1014.90,26.19,0.20,11,1,,0.00,11,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,22,73,18,0,,,,,,,,,,,,,,,,,51.90,0.30,0,22,73,18,0,149,100,45,,,23,51
2021-07-01 18:27:00,735,735547,1190107303,125,93,-1623,12,1,,0,0,0,4,-1.50,71.10,1014.90,26.19,0.20,28,1,,0.00,28,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.90,0.30,0,22,73,18,0,149,100,45,,,23,52
2021-07-01 18:27:00,735,735673,1190107303,125,93,-1623,12,1,,0,0,0,9,-1.50,71.10,1014.90,26.20,0.20,53,1,,0.00,53,0,0,0,0,0,0,0,162,11,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,51.80,0.30,0,22,73,18,0,149,100,45,,,24,53
2021-07-01 18:27:00,735,735807,1190107303,125,93,-1623,12,1,,0,0,0,0,-1.50,71.10,1014.90,26.20,0.20,0,1,,0.00,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.80,0.30,0,22,73,18,0,149,100,45,,,24,54
2021-07-01 18:27:00,735,735932,1190107303,125,93,-1623,12,1,,0,0,0,0,-1.50,71.10,1014.90,26.20,0.00,0,1,,0.00,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,100,2,0,0,0,1,6,2,51.80,0.30,0,22,73,18,0,149,100,45,,,25,55
2021-07-01 18:27:01,736,736057,1190107303,125,93,-1623,12,1,,0,0,0,0,-1.50,71.10,1014.90,26.20,0.00,0,1,,0.00,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,219,255,0,0,0,0,,,,,,,,,51.80,0.30,0,22,73,18,0,149,100,45,,,26,56
2021-07-01 18:27:01,736,736182,1190107303,125,93,-1623,12,1,,0,0,0,0,-1.40,71.20,1014.89,26.19,0.00,0,1,,0.00,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.80,0.30,0,22,73,18,0,149,100,45,,,26,57
